z-function;wildcard-0-small-bin;100;2315431
z-function;wildcard-0-small-bin;200;1968394
z-function;wildcard-0-small-bin;300;1757970
z-function;wildcard-0-small-bin;400;1692787
z-function;wildcard-0-small-bin;500;1739039
z-function;wildcard-0-small-bin;600;1690390
z-function;wildcard-0-small-bin;700;20216636
z-function;wildcard-0-small-bin;800;3410141
z-function;wildcard-0-small-bin;900;1523886
z-function;wildcard-0-small-bin;1000;1603407
z-function;wildcard-0-small-bin;1100;1606307
z-function;wildcard-0-small-bin;1200;1763034
z-function;wildcard-0-small-bin;1300;1727961
z-function;wildcard-0-small-bin;1400;2075847
z-function;wildcard-0-small-bin;1500;4184126
z-function;wildcard-0-small-bin;1600;1689663
z-function;wildcard-0-small-bin;1700;1891063
z-function;wildcard-0-small-bin;1800;1939175
z-function;wildcard-0-small-bin;1900;1720152
z-function;wildcard-0-small-bin;2000;1696112
z-function;wildcard-0-small-bin;2100;1872607
z-function;wildcard-0-small-bin;2200;2018976
z-function;wildcard-0-small-bin;2300;2463002
z-function;wildcard-0-small-bin;2400;2173523
z-function;wildcard-0-small-bin;2500;1820893
z-function;wildcard-0-small-bin;2600;2081750
z-function;wildcard-0-small-bin;2700;1723079
z-function;wildcard-0-small-bin;2800;1861336
z-function;wildcard-0-small-bin;2900;1926460
z-function;wildcard-0-small-bin;3000;2344019
z-function;wildcard-0-small-sq;100;1284655
z-function;wildcard-0-small-sq;200;1285446
z-function;wildcard-0-small-sq;300;1426049
z-function;wildcard-0-small-sq;400;1213252
z-function;wildcard-0-small-sq;500;1243792
z-function;wildcard-0-small-sq;600;1686886
z-function;wildcard-0-small-sq;700;1286129
z-function;wildcard-0-small-sq;800;1347074
z-function;wildcard-0-small-sq;900;1488368
z-function;wildcard-0-small-sq;1000;1418435
z-function;wildcard-0-small-sq;1100;1509639
z-function;wildcard-0-small-sq;1200;1401487
z-function;wildcard-0-small-sq;1300;1624105
z-function;wildcard-0-small-sq;1400;1729565
z-function;wildcard-0-small-sq;1500;1433726
z-function;wildcard-0-small-sq;1600;1367941
z-function;wildcard-0-small-sq;1700;1457896
z-function;wildcard-0-small-sq;1800;1490069
z-function;wildcard-0-small-sq;1900;1637678
z-function;wildcard-0-small-sq;2000;1525558
z-function;wildcard-0-small-sq;2100;1614867
z-function;wildcard-0-small-sq;2200;1656521
z-function;wildcard-0-small-sq;2300;1519747
z-function;wildcard-0-small-sq;2400;1956088
z-function;wildcard-0-small-sq;2500;1486702
z-function;wildcard-0-small-sq;2600;1903241
z-function;wildcard-0-small-sq;2700;1866497
z-function;wildcard-0-small-sq;2800;1530191
z-function;wildcard-0-small-sq;2900;1733110
z-function;wildcard-0-small-sq;3000;1556235
z-function;wildcard-0-big-bin;100;49991804
z-function;wildcard-0-big-bin;200;63682434
z-function;wildcard-0-big-bin;300;33064587
z-function;wildcard-0-big-bin;400;19276574
z-function;wildcard-0-big-bin;500;15512492
z-function;wildcard-0-big-bin;600;15831202
z-function;wildcard-0-big-bin;700;15253221
z-function;wildcard-0-big-bin;800;15266270
z-function;wildcard-0-big-bin;900;15372070
z-function;wildcard-0-big-bin;1000;14892144
z-function;wildcard-0-big-bin;1100;15151290
z-function;wildcard-0-big-bin;1200;15091560
z-function;wildcard-0-big-bin;1300;15131506
z-function;wildcard-0-big-bin;1400;15480469
z-function;wildcard-0-big-bin;1500;16362364
z-function;wildcard-0-big-bin;1600;15592086
z-function;wildcard-0-big-bin;1700;15219407
z-function;wildcard-0-big-bin;1800;15787602
z-function;wildcard-0-big-bin;1900;15384960
z-function;wildcard-0-big-bin;2000;15570747
z-function;wildcard-0-big-bin;2100;15801345
z-function;wildcard-0-big-bin;2200;15446722
z-function;wildcard-0-big-bin;2300;14779765
z-function;wildcard-0-big-bin;2400;15042664
z-function;wildcard-0-big-bin;2500;14872839
z-function;wildcard-0-big-bin;2600;14540987
z-function;wildcard-0-big-bin;2700;15045040
z-function;wildcard-0-big-bin;2800;14999636
z-function;wildcard-0-big-bin;2900;14864098
z-function;wildcard-0-big-bin;3000;15148781
z-function;wildcard-0-big-sq;100;12379240
z-function;wildcard-0-big-sq;200;18490358
z-function;wildcard-0-big-sq;300;13230255
z-function;wildcard-0-big-sq;400;13021773
z-function;wildcard-0-big-sq;500;11830947
z-function;wildcard-0-big-sq;600;11954871
z-function;wildcard-0-big-sq;700;12195931
z-function;wildcard-0-big-sq;800;12645839
z-function;wildcard-0-big-sq;900;11761264
z-function;wildcard-0-big-sq;1000;11656291
z-function;wildcard-0-big-sq;1100;12865082
z-function;wildcard-0-big-sq;1200;13322947
z-function;wildcard-0-big-sq;1300;12186382
