selection;small-range;50;5851
selection;small-range;100;20831
selection;small-range;150;47925
selection;small-range;200;76689
selection;small-range;250;116084
selection;small-range;300;170495
selection;big-range;50;6140
selection;big-range;100;24086
selection;big-range;150;47544
selection;big-range;200;87151
selection;big-range;250;131009
selection;big-range;300;176142
selection;almost-sorted;50;5728
selection;almost-sorted;100;20537
selection;almost-sorted;150;44133
selection;almost-sorted;200;76026
selection;almost-sorted;250;121753
selection;almost-sorted;300;165238
selection;reversed;50;6311
selection;reversed;100;23317
selection;reversed;150;50368
selection;reversed;200;88116
selection;reversed;250;138000
selection;reversed;300;206661
bubble;small-range;50;11521
bubble;small-range;100;45445
bubble;small-range;150;137201
bubble;small-range;200;170189
bubble;small-range;250;271699
bubble;small-range;300;454502
bubble;big-range;50;12280
bubble;big-range;100;49346
bubble;big-range;150;135489
bubble;big-range;200;248030
bubble;big-range;250;298824
bubble;big-range;300;530287
bubble;almost-sorted;50;8026
bubble;almost-sorted;100;26047
bubble;almost-sorted;150;60678
bubble;almost-sorted;200;93978
bubble;almost-sorted;250;155362
bubble;almost-sorted;300;191256
bubble;reversed;50;16487
bubble;reversed;100;72213
bubble;reversed;150;142578
bubble;reversed;200;256022
bubble;reversed;250;401698
bubble;reversed;300;646673
bubble-iverson-1;small-range;50;24143
bubble-iverson-1;small-range;100;87634
bubble-iverson-1;small-range;150;106088
bubble-iverson-1;small-range;200;181888
bubble-iverson-1;small-range;250;292435
bubble-iverson-1;small-range;300;391979
bubble-iverson-1;big-range;50;12662
bubble-iverson-1;big-range;100;50204
bubble-iverson-1;big-range;150;148961
bubble-iverson-1;big-range;200;223283
bubble-iverson-1;big-range;250;479882
bubble-iverson-1;big-range;300;427495
bubble-iverson-1;almost-sorted;50;2503
bubble-iverson-1;almost-sorted;100;6323
bubble-iverson-1;almost-sorted;150;11091
bubble-iverson-1;almost-sorted;200;18946
bubble-iverson-1;almost-sorted;250;28752
bubble-iverson-1;almost-sorted;300;25236
bubble-iverson-1;reversed;50;16040
bubble-iverson-1;reversed;100;67901
bubble-iverson-1;reversed;150;167259
bubble-iverson-1;reversed;200;268558
bubble-iverson-1;reversed;250;425141
bubble-iverson-1;reversed;300;599208
bubble-iverson-2;small-range;50;12429
bubble-iverson-2;small-range;100;50580
bubble-iverson-2;small-range;150;155172
bubble-iverson-2;small-range;200;183413
bubble-iverson-2;small-range;250;317858
bubble-iverson-2;small-range;300;522302
bubble-iverson-2;big-range;50;15188
bubble-iverson-2;big-range;100;63935
bubble-iverson-2;big-range;150;131013
bubble-iverson-2;big-range;200;213917
bubble-iverson-2;big-range;250;340716
bubble-iverson-2;big-range;300;538094
bubble-iverson-2;almost-sorted;50;2641
bubble-iverson-2;almost-sorted;100;6532
bubble-iverson-2;almost-sorted;150;12357
bubble-iverson-2;almost-sorted;200;15389
bubble-iverson-2;almost-sorted;250;20433
bubble-iverson-2;almost-sorted;300;26630
bubble-iverson-2;reversed;50;18395
bubble-iverson-2;reversed;100;94345
bubble-iverson-2;reversed;150;158598
bubble-iverson-2;reversed;200;295848
bubble-iverson-2;reversed;250;495173
bubble-iverson-2;reversed;300;602775
insertion;small-range;50;6145
insertion;small-range;100;23899
insertion;small-range;150;140282
insertion;small-range;200;98924
insertion;small-range;250;132275
insertion;small-range;300;209057
insertion;big-range;50;6089
insertion;big-range;100;23095
insertion;big-range;150;50414
insertion;big-range;200;85212
insertion;big-range;250;260978
insertion;big-range;300;236689
insertion;almost-sorted;50;447
insertion;almost-sorted;100;837
insertion;almost-sorted;150;1182
insertion;almost-sorted;200;1707
insertion;almost-sorted;250;2334
insertion;almost-sorted;300;2252
insertion;reversed;50;6101
insertion;reversed;100;22979
insertion;reversed;150;54499
insertion;reversed;200;87150
insertion;reversed;250;140556
insertion;reversed;300;217830
bin-insertion;small-range;50;33927
bin-insertion;small-range;100;61219
bin-insertion;small-range;150;82888
bin-insertion;small-range;200;144190
bin-insertion;small-range;250;236615
bin-insertion;small-range;300;411427
bin-insertion;big-range;50;12391
bin-insertion;big-range;100;60447
bin-insertion;big-range;150;78583
bin-insertion;big-range;200;207006
bin-insertion;big-range;250;201343
bin-insertion;big-range;300;281505
bin-insertion;almost-sorted;50;4373
bin-insertion;almost-sorted;100;10145
bin-insertion;almost-sorted;150;16965
bin-insertion;almost-sorted;200;22442
bin-insertion;almost-sorted;250;32988
bin-insertion;almost-sorted;300;38622
bin-insertion;reversed;50;12610
bin-insertion;reversed;100;55962
bin-insertion;reversed;150;134152
bin-insertion;reversed;200;230501
bin-insertion;reversed;250;342352
bin-insertion;reversed;300;424847
counting;small-range;50;27600
counting;small-range;100;27193
counting;small-range;150;27545
counting;small-range;200;31890
counting;small-range;250;36864
counting;small-range;300;28701
counting;big-range;50;27069
counting;big-range;100;27461
counting;big-range;150;28213
counting;big-range;200;43920
counting;big-range;250;34408
counting;big-range;300;32253
counting;almost-sorted;50;26908
counting;almost-sorted;100;27455
counting;almost-sorted;150;28146
counting;almost-sorted;200;28275
counting;almost-sorted;250;28467
counting;almost-sorted;300;33289
counting;reversed;50;44488
counting;reversed;100;37836
counting;reversed;150;27994
counting;reversed;200;27905
counting;reversed;250;28561
counting;reversed;300;32059
radix;small-range;50;32551
radix;small-range;100;45199
radix;small-range;150;60319
radix;small-range;200;74515
radix;small-range;250;89690
radix;small-range;300;117390
radix;big-range;50;31533
radix;big-range;100;44086
radix;big-range;150;65732
radix;big-range;200;92939
radix;big-range;250;110418
radix;big-range;300;138070
radix;almost-sorted;50;41618
radix;almost-sorted;100;49566
radix;almost-sorted;150;316952
radix;almost-sorted;200;108143
radix;almost-sorted;250;256166
radix;almost-sorted;300;149369
radix;reversed;50;44172
radix;reversed;100;60027
radix;reversed;150;79858
radix;reversed;200;150676
radix;reversed;250;114436
radix;reversed;300;134817
merge;small-range;50;31109
merge;small-range;100;46403
merge;small-range;150;50448
merge;small-range;200;63336
merge;small-range;250;94169
merge;small-range;300;94286
merge;big-range;50;11647
merge;big-range;100;30486
