selection;small-range;50;12071
selection;small-range;100;46674
selection;small-range;150;103807
selection;small-range;200;183296
selection;small-range;250;285450
selection;small-range;300;410071
selection;big-range;50;12164
selection;big-range;100;47088
selection;big-range;150;104635
selection;big-range;200;184748
selection;big-range;250;287430
selection;big-range;300;412501
selection;almost-sorted;50;12110
selection;almost-sorted;100;46818
selection;almost-sorted;150;104017
selection;almost-sorted;200;183677
selection;almost-sorted;250;285861
selection;almost-sorted;300;410599
selection;reversed;50;13736
selection;reversed;100;53736
selection;reversed;150;119986
selection;reversed;200;212486
selection;reversed;250;331236
selection;reversed;300;476236
bubble;small-range;50;17772
bubble;small-range;100;71307
bubble;small-range;150;161137
bubble;small-range;200;283607
bubble;small-range;250;446942
bubble;small-range;300;641782
bubble;big-range;50;17947
bubble;big-range;100;72212
bubble;big-range;150;163107
bubble;big-range;200;288747
bubble;big-range;250;453137
bubble;big-range;300;653772
bubble;almost-sorted;50;15792
bubble;almost-sorted;100;62067
bubble;almost-sorted;150;138522
bubble;almost-sorted;200;245122
bubble;almost-sorted;250;381722
bubble;almost-sorted;300;548537
bubble;reversed;50;21227
bubble;reversed;100;84952
bubble;reversed;150;191177
bubble;reversed;200;339902
bubble;reversed;250;531127
bubble;reversed;300;764852
bubble-iverson-1;small-range;50;16342
bubble-iverson-1;small-range;100;70226
bubble-iverson-1;small-range;150;157581
bubble-iverson-1;small-range;200;274919
bubble-iverson-1;small-range;250;434118
bubble-iverson-1;small-range;300;621233
bubble-iverson-1;big-range;50;17805
bubble-iverson-1;big-range;100;70793
bubble-iverson-1;big-range;150;160806
bubble-iverson-1;big-range;200;280150
bubble-iverson-1;big-range;250;452970
bubble-iverson-1;big-range;300;652560
bubble-iverson-1;almost-sorted;50;3595
bubble-iverson-1;almost-sorted;100;9032
bubble-iverson-1;almost-sorted;150;15810
bubble-iverson-1;almost-sorted;200;21760
bubble-iverson-1;almost-sorted;250;27710
bubble-iverson-1;almost-sorted;300;37181
bubble-iverson-1;reversed;50;22454
bubble-iverson-1;reversed;100;89904
bubble-iverson-1;reversed;150;202354
bubble-iverson-1;reversed;200;359804
bubble-iverson-1;reversed;250;562254
bubble-iverson-1;reversed;300;809704
bubble-iverson-2;small-range;50;14504
bubble-iverson-2;small-range;100;62347
bubble-iverson-2;small-range;150;143257
bubble-iverson-2;small-range;200;260527
bubble-iverson-2;small-range;250;398786
bubble-iverson-2;small-range;300;586441
bubble-iverson-2;big-range;50;17417
bubble-iverson-2;big-range;100;70019
bubble-iverson-2;big-range;150;153643
bubble-iverson-2;big-range;200;276500
bubble-iverson-2;big-range;250;445784
bubble-iverson-2;big-range;300;623932
bubble-iverson-2;almost-sorted;50;4611
bubble-iverson-2;almost-sorted;100;13265
bubble-iverson-2;almost-sorted;150;25332
bubble-iverson-2;almost-sorted;200;39186
bubble-iverson-2;almost-sorted;250;55301
bubble-iverson-2;almost-sorted;300;76258
bubble-iverson-2;reversed;50;23988
bubble-iverson-2;reversed;100;95838
bubble-iverson-2;reversed;150;214428
bubble-iverson-2;reversed;200;380521
bubble-iverson-2;reversed;250;595822
bubble-iverson-2;reversed;300;857104
insertion;small-range;50;15438
insertion;small-range;100;60888
insertion;small-range;150;136338
insertion;small-range;200;241788
insertion;small-range;250;377238
insertion;small-range;300;542688
insertion;big-range;50;15438
insertion;big-range;100;60888
insertion;big-range;150;136338
insertion;big-range;200;241788
insertion;big-range;250;377238
insertion;big-range;300;542688
insertion;almost-sorted;50;738
insertion;almost-sorted;100;1488
insertion;almost-sorted;150;2238
insertion;almost-sorted;200;2988
insertion;almost-sorted;250;3738
insertion;almost-sorted;300;4488
insertion;reversed;50;15438
insertion;reversed;100;60888
insertion;reversed;150;136338
insertion;reversed;200;241788
insertion;reversed;250;377238
insertion;reversed;300;542688
bin-insertion;small-range;50;10015
bin-insertion;small-range;100;38743
bin-insertion;small-range;150;82778
bin-insertion;small-range;200;145326
bin-insertion;small-range;250;213018
bin-insertion;small-range;300;315009
bin-insertion;big-range;50;10226
bin-insertion;big-range;100;33909
bin-insertion;big-range;150;70210
bin-insertion;big-range;200;123591
bin-insertion;big-range;250;199856
bin-insertion;big-range;300;273789
bin-insertion;almost-sorted;50;4527
bin-insertion;almost-sorted;100;11080
bin-insertion;almost-sorted;150;18500
bin-insertion;almost-sorted;200;26435
bin-insertion;almost-sorted;250;34478
bin-insertion;almost-sorted;300;43346
bin-insertion;reversed;50;16534
bin-insertion;reversed;100;61569
bin-insertion;reversed;150;134464
bin-insertion;reversed;200;235139
bin-insertion;reversed;250;363314
bin-insertion;reversed;300;519429
counting;small-range;50;62623
counting;small-range;100;63723
counting;small-range;150;64823
counting;small-range;200;65923
counting;small-range;250;67023
counting;small-range;300;68123
counting;big-range;50;62623
counting;big-range;100;63723
counting;big-range;150;64823
counting;big-range;200;65923
counting;big-range;250;67023
counting;big-range;300;68123
counting;almost-sorted;50;62623
counting;almost-sorted;100;63723
counting;almost-sorted;150;64823
counting;almost-sorted;200;65923
counting;almost-sorted;250;67023
counting;almost-sorted;300;68123
counting;reversed;50;62623
counting;reversed;100;63723
counting;reversed;150;64823
counting;reversed;200;65923
